variant_id,character_id,character_name,skin_id,skin_name,element_type,weapon_type,rarity,embedding
10000002_200200_冰,10000002,神里绫华,200200,莹辉流华,冰,单手剑,5,BqOUPXb3uL1zLcy8GuHGO4yJ1Lw6ZPw9W3rJvWjHlL3nbze9DaqcO8Y7h7046r09bOXKPYiv/DykFKE99158PaWR4bwXPri8vXibOC8AQD0e2y+8xc6AvdfdRbtEGBg8ahuhPTy5OL4cdpq9iZ+EvFofQjx8KGw8Z8zKO69A1D2JnIA5N/R9vCAALr0HcTu9w0LzvKmB+T1whGI9tMNePafIsj2C/Iy9MstxOpL4kD32/xe8UICHvEuXaT1hFBG+oiLVPHfdvb064Y09iOMjPWqLUrvHogc9dOKXPPGb+zwX8pK9/CLPvUfEAD1Iyae9XGa9O8nax70wcFi7gkG6vV4FELsSc1O7F+xvPduodj0nS3m80sZ/PUuUqbvl1+I9yjdMPXWUBLxr2Fy9NiVOvKde/Lweiwy+YqMTPX/zfD0CYSM9WCUzuTOAMrzfBwY8192xPFEpOr2lLAO9Q6wYPeI4OL1Frp49A9xVvnY+gDxVknY8Q/AYvfDkpT3QVBG+Ppd7vWsw2r1kLOk75qcOvKz3Bb3Yt5K8eXZ5vS+bw72MUJi8jNvfPd6mCj5zDlS+B+OcPcXBvzyEwMS7Dy3zPCOGPTwsmFc89VuGPPvqbD2KaRG8JnaEPVgBlb0oGYg8NTqKvQ5Ye7zaZ0E8H2wKvShggzwyeq+897K5PMZc/7w/Ddy8+SLCvGsJrjp52Ki9njEuvMNzoD2uy6Q9jpmGPemjXb1zjzk99SoMvWcFcLzPoDC9JMs5PGpy0z1CpoI93mX/vBIr8bxAWp0954mxPdCcfj26+p08T9zkPXIBaL3HOjU9WIaPPNYHwrwaCzQ+NohKPK/EE7z0jWi96543PigUy7yedbm8+HMuPMM7CT3G5vq8bxghPNpnpzynWPU89kOQPB7N+r02FMW7vS6NvTtpZL3Z0kg9D5dpPUIpDz3Pn4s9lMBivHSQvzt3CO69FEQqPd5qAT6+SxS8amT3PDb2aDzqbAa8wA3BvMSkdL0im6289wTrPUl2Ur0g8Qg9Vvk8PRm+Qb0RJQ49hlr4vBD1eD1/ztS89PIivZ0tRr13/4898ckhvTOJ1Lv1JE09FPKbvWv66rwEBBA8oyCPvPwxAz1GCgU8a9VxvV4Q9z1QwOY9gvO/vLbj7DysSZ+9GUysvfm/Dru+oCQ7VYYdvOp/+r1cQKm88DDNvH57fb3CEKQ91kIkPIAswr2/SRs92gRTvRISur0lvbk8KlQAO9ktBj1xmL896n24PWzzMb0oa489BqUKvEFisT3D5wY9rlGpPHogNz3G+KK8deHePZyDP72RCiU8HnSQvZV6cbyPpkI9qzsRvete5bxHKQE9c5VpvRQkhb0m2Qe9bkH+vQ==
10000002_200201_冰,10000002,神里绫华,200201,花时来信,冰,单手剑,5,ZK3IPYpmeby/SoS9/sc5vYN2TL0x2ow9X0pCvXGmaTzwIA0926qSPQlUSL0RyZQ97YKWvGs05bwdH4W9QkbZPDWd8jpddfa7lUAJPAldXT2GLAu9s4KlvQmsgL11UfS8utuLPRNHG75GGM+8rGl1PSEzlDwZYuM8mzDHveKHsD0BVpu8yCeLPbzihrwPUZK8LludPBfblz2Gkrk9SpyJvQIbzj2Q3WU83d/GPC2CDTz4Yt88EXwLvfvdsj2dQTK9J2sjPckllz0tvGs9oOnWPOS/U71naAW9hewEPU60qb06XyW+paA/vsldFL1fxw+9yDlJPfw9ursstM27neHVvJMxYL19KA6+Wby3PBdklL33ocS9yg0PPQ/irjlSBvw9zwdKO1cB9TwOnz69B/h7vak3WTze7bm9aXjLPKkioz0wzTo9AkvhvL4DHr0b3+i7z19vvZGsur3cWKG9JXESvYsUqL39bIw9xLoXvhQuWj0Nc+a984Q/PHS13j1MkzG+VutOPWNw+L1Ich89IDvcPQAkiDy5Qfm8FS/Wuw14cL05Ma+8TrcYPjbJAj5AmQi+cCzbPafGDj2z+zG9PCgaPNoH1zucnrG9rZ6sPMNJeb2dPda70PS8PHvTdL3aCAM92DSvvdnvJr3yr0K9xKbiO1ElFj1ylLW9HNpHvTAXl7zPzLi9yCU1vaLBKryiXwi7qrU8Pe3zED69rQA9S2rvPDwzzT1Njqc9nlYuveHw8jorXBy9Dk/yOiUB3zw0gPI8bHh0PX0Mkz3WWbQ86Sq8vIlamj3f0RC9wF0DPUomKr1Jpr49v6cJvewt4buAjQg+4f9WPSFyvb1UCPK8JosRPfhiWjw3Lu29mkOAPTCrUr3RGKm95T3Cuu8p+7wIjv68VZF3vDdX0Dvsjxg8eWBGvZ6yCT0oZs49f0lRPKUxnTyEJRE9ULqZPd/Cej0jZiO9GYiQPEcPBD7oPTU7C8LqPNol/D3Tsi29MMM5vasJvLueq8I9lfojvFJflz1PYtI9y0zTvPDyHb1aenw9luGzvGo+rTx4SRo71YPAPeeKTr1rZAy9ZlRPu5Iix71YS+M9rtkVPRl2F722joO8mqm4vSLzij1vIko9vbMdvB8ifD1j9T894lKevERekzsx0QG+xYi8vBmeUD2xBlY9iETsPMEwo70gJ+q7YhjSO5T7CLz68ac9v5IivAiFK73v4ts8xESMvRIbAb2J4Tq9LiOQPNSn0bneeEU9b7JsPGarW7pYeTm9Bb97PNPiPz0ekCE9cos0vTG11D0b+FI7P+fqPLG9mL3v2UQ7Kg0xvO8jOb1KOku9tkQXvpi8TD3lJYw8wuvXu+OAIL2FbH29J7WrvQ==
10000003_200300_风,10000003,琴,200300,风之虔护,风,单手剑,5,m/Z+PR9Yp72kOs88X7nHvTzT2bwU5Hk9TuMnPRypir1lrys9lB+TPdl/Tb2T+tG8gPWsPLrahjvxroO9xM8vvLMT5rzu8vq7p9RluuxWCD7Hnte8p/lxPGiUC7x0wVc9PlcZPCj5Fr4Zz2Y9YWrnvGzflD0eQu08++I9PaYwwD3e4nc8PxpqPEYHpL03R7W9Q+AxupJLHj1zDMo9UzvyPE9mlD3XPvS8jh6ru6TRdD0dEZI8P3v/vVSClT0HFpK9iQJSvILrYDyKP3I8/KKOPJU6zLwaKBk8fn7huz0CA71F1Sg6JWTIvatRbr0Jl5i98xFTvfFA4bzyNtY9mFicvbc947vl6hC9O6SiPf3+vj0+UlU99O7bO6Mhtjs/VRI9pGcTvQdtYr3Z/Vi9hEuKvW/hVb1V3t+9mgFwPTJBnDyNZxU+LUmmPLpXMbqi1jS9BPOAvEVhwb2vlw698r9MvbiIL7xCtjg9JIoDvkXwWD2zhzG9E2HMvCLdYLzADTa+/UxVPVIjDb2bqyU9LzxfOwQZ/jzazv68+sEHvXIau7v0B6I8pqHfPdi4Lz1Y4lG9DAcrPYAxRj3XPwe9bfCDPMIlRb35RoS9LRCIPZejIL0sFXc9v+oGPVKsCr3g1Ce8i9cUvg6hX73jiZW9fghuPM2obj12kKA8lnAVPR4qCbw9JKk8aFPzPKUrJb0HFCg89Jz/vJCj0D0NN+I8S9+7unebLrx1S+o9Kai0PEAWhL2NEIC9MhmJvG2KAT7jDpE8mVzGvFVBkT3knJU9WgzpPTBEmTk4PyS9ojuHPBPOxLxqNp498YXCO1TsSz3ZqCY+l04VPQ+Yc70kH429bpHwO51sV72oTzm9YMqnvMpRUD0PeQq+kmbBvVXCQT0R6eA8XduEPS+DqLxMGFS9iFivvUtNNLw3DoM9VjikO2F5wrzx/i49983nPbSBq72/NdS9/dP1vNBoMT54Nxw+Knj5PIPALrzkV9Y8Y8k3vMAJ3DvEEvi7kVaMPTNYnz0gB0c+nD6MvTSZFL3xEw09hcT1vFbIGT37oca9I0CVvY1M3b3uG8g9uM3HvKCaPz2C4Vs9DISXvJOzNL3Hmgg9eo+kuxKXFD2FAFA9OoFJvSO7ez0RT0Q9MIaJvM8Ar72/yWw9GUPavVRukbwzs0U9eeXkvIGh4r3/aMK8ZTo1vZANRr22fcI9oyb8PZaIAj1BXEM9EUtDvRwpQr0q9RC9OCq1OtFQ67y2KaU86LhBuyXK47zXbjc8ltcrvBHCnT07IAc+jLkGPdJlYDzS6Ia9XwMIPixbrr0DKmY8SCUdvSPRAb3mG4A9Kl6PvQdm8zyobIk8Hq6XvelcEr6Wdh47AaTuPA==
10000003_200301_风,10000003,琴,200301,海风之梦,风,单手剑,5,SmIYPbjVKL2fsay6uBgSPNuG5zsD5yO8r7+3vXYOHzvlxVW9YMZRPZMF7Lxllv08BY63vXt7Dj059iY9nlgkPSGG4r2PYBG97wEbvWUd7z1NtIC8vFM5vadxLT1lVHg9l0icPPdksr16PYY85TXLOY9YIj2IqIO97rh0vZcsAT65rMQ9txAGPc6hnr0hBj08wsqtPWZJMD1REfc8MXrNO75bRj19F7e9Bc8sPVyJHz1CCOG90SHMvXhl0D2OnoQ8l/6/PbbIkT2dEZs9/m75PHzd3ryJbv07Lb7BPepOkjy0/4y9NCrtvaAa1rwtMVo9glKGvFS62ryLtoQ9FoJzvBR7iT1K3Nm9GfvLvC8ZeT08qXw7RBv3vNg8pTzMjb89iV54PDVAbzw9rBW9Ab+lvWlstb2Xr2u9Ib0LPUh/rT0uq+I9Jj5tPA6sGL3zmGk9orNyvXcyHr7wArS8wFDTvWR7R72243w8xef7vW5Blbw9f9O8h2lSPB0tQj0cpHu9fAAaPVNoFj1YORw9tAuRPIFZ1jy+VIc8+a+bvbBUQb0/sna9AHayPYfGPT1dDo+9r1rOPNOHfD3ZKQW9Pq/uPNYRL7to6mW9Mb3vOwWXorybmuw7LxWiPf6B6Ly3eYu9E0ctvnSDuz0t93u9qLCRuw1rgj3cRTC9n+7euqjomzzTvqa8nBNRvOgBFTrxYbO8awWovWtXmDzjAS095A1RvTmLi7sfK8I9q4h4vJbTOz0yUHa93vYVvfEwcT1Gw2Y9/KgnPRZeWL2BRcA91WatPXgMqL0uXhO97pWkPTUImztyZgY+NgY3PC2DDT3fiTQ+V+zNPQGj6Tx5wrq785nRPbR2cTx/eYC9ummAvUM/gz2KlAy+8Dk6O1XooTxkICg87LPqvMx7+bzbiXu9GFOhvZvnb731DzY9yYa1vF7bhrnD94892q4mPjS1y73Zx8u9k3IHva18JLxHuBc++uYSvelIyD2ZGmK9V7c0PS+hUL0NfZA7M+5CPZS4orxv5I89krEVPZ+yJT1aLVg9qt8SPbQfEj3rVy69SttavcLeDL6cyPY8aiNGvbN/8rtsqsu8bzAEvZHubT0KGrQ9gq9EvY4sTD24RJE8NPcBvdp3sj1VJ/A9cXE9vBUKbD1VqQ09ikwLvo40Ob3uf+88UM+AvUbOKLzuX+y9V62Ku0aVa718wEE9R1foPRAgw7z0rOG7nDxVvXq9Yb2j7vS8nHudugTLxL32FfW8tx45Pb0+Pj11XHC9K91Fu3dp3jzjrcc97IZMPFe4Fj23l/G7Bs3dPDDM3by0Dg89S4KtvOOLpr3f2T09JuzkvV0nXzyM1dW81izJve7FGb48gKc9Ud+mPA==
10000003_200302_风,10000003,琴,200302,古恩希尔德的传承,风,单手剑,5,Ab1GPeMPgb3UrGM9gSVkva6eJr2omEc9pcIQPXfPbz115Y080AyRPZllCjwzn5a988gAPclArD0iBzm9bUdEPaOUfb2h/3G9kQssPEadkD0+9W69jQwhPAYTpzthjKi7wpJfuw8lyL3Exy49t22aPCpRGz0BPQk9MBXpPC3xgT2Ffte8dAozPX3C0b2/gNc7yE9rPBA4tz2XRDE9mBzCvC1pDz7z6jK9MY++O2dHpT0oxXY8mm3kvfTb4D3mliO9yqwOPd6IS7w8nX89ShcuPAOuxbxAByk9MzvvPdPCzbsu9R69mHiJveBdpr3WRI68e2XvvA0Durza2U89FJmVvTDuhDxBpMq8SE8NPQ2ZKT2tTrS8bh6fPMqh3jpK0L89n/pHPatsozsCRp29XT9dvf10p739dSi91JClPewVWD29W4493G3oO/IXFr1X0lc87O01Oi42qL1AAIo7AcGYvUBjDr6eKcE9g3/LvYrE8zx5/g89nQRQvVPYaz0x3ta9CvGXPQ/y/r20iHM8aG4BPdHEmj0VNCK8FrawvIrvWb0PwRa9B2uuPTUv1zy92X899SkPPSinXD3E1Io7VGAmPWiFHDuJJYW9T6wJPpMLdr1MH8g9YziGPSd/2r3NCp+8m0rbvROsNLxborM9xocYvfvYsjzlufC8mGU5PMGWJD31lUg8hUiYvcpwkDwc4pK9tjQ7PG0Fgzu/ckw9UuUjvEhiCT17Mw09G5RLPXSZJD16dDK8x4l9vU+Qrj0gVa49LboAPebKMD3gdxE+sVu4PdF4Db7GmYY8E1tWPWOCuLtKqS8+RZBoPfW9Hz3FR5M9d1MAPWTKVL1pPOO9HGXdPb0tDb1bI4K9Kl3lvRpuoz0wjDK9VDE9vWIwOj0ei6k7Jm7IPJwK6bzJH2Q95zlBO45Qz70Ixe47IBS1vK5rib03rxG9YQWePZSrBb7N63K9o05EvKBCbz1YdgQ+DFilPfHurjydtmi74haFvJ6Rnjy9lq297/LdPSwrDr2xoY09+M0MvJpX6r05fxq9L5CdvRngbT3bfQC+XTNqvGt3iL3JTWk92MdyvVWwTjsy2wk9YcV4vEhUj70DAJM9foATvbaQw7xF6jM9yHNTvY8D6T2IKZk755WpvQwHZL07dV08dWYLvkJLPL3s19I9FnoxvbXL5L1bqc69nmmducpDHz0KE9w9BJcqPrGULjvmCaK8vJdpvJqC5rwAbNA8xXJdPGOpFD2TXXs9OUHRvDyZ1jseY928ZtMcvOWQkjyDkgg+yNguPVqltDy1lCg81oyCPWCIy7yJYSc8yo1wvIpdhb2HN6o90sdbve2hYbzYBK89c0CIva6b7r237tC8X6o+vQ==
10000005_200500_冰,10000005,空,200500,初升之星,冰,单手剑,5,6BA1vMv0Jr1W6xc9fMuavbMkjLr245Y8vPxtPY+kvT1xHCS9m6uYPWhgwDwrTAW6SgervE71db2xxNq9axVQvPhfhT2wOdW88Cr0ulNEQD3XPJK9AripPXomkr2Cbiy9I9g7Pc0EsztUkKI9M/+HvaGDBz1JeQM+tkXaPJwGIT263gI9aYhMPTGdTr2A/mq9TnrYPJVwUzyCFwk+d5s6PWmJIL0rs5M9yK2/PB92/Tyrj/A7p+LoPLBhvDwSQ+a8BtgIPQZ0Prw/L3M97/EYvQI7cr0wwlS9NnY5PdLpvL34Mqi5rn01vr/a6T0berU91OKPPYTLtTuEgCg9PvyivV94wD2KMIE9rG1PPYkFjDz1qgk9lThHPYheHj2ueEo9v13VPUg44bq6swO96eaDPRNkXDvUJVk7vNm0O2d1Gj1uPRe9h51fvCyv67xk48y7ziqkvNSi470ylhu9CmcDPPahM705ehY+mNROPPdxH73CR+q8/UUVPCcn/bx4tJi9R9g4PSyQgbydurA8uIbDPYdqEz1gFQA+R2lOPUmKVzwu9IE9tzvDPGRxlz2B/ha8lCfZvCuLiD1QUuK9Z1wZvdTWA73LbB6+7hPiPEmwsL1Pl4W9jj32vDJbWT0GN4G9iFW4OxlWIbxVbIi9KDaKPahZib2WTFK9ODlBvYdWjr2fh169EZegPLG16TpzzSQ9+ahlveXj4bxIJzK93Z3SOwYxJbwUMxE9cj19vd28Ur1MrOi9d7qwPFueCj4JZHk9TFcgPT9djz14bcS8KTaPPedYqDy7hZO9Jr25PC9oiLx89t880QGTPFeko730Qas9maLKvPIDDL10+Xu9XjKzu+l+ib1rS968f/HTPcMXsLyabFO75va2PR5doD31d7A9HjXOvfxOlr0K3No8/LwKvZre5bt4kXw9xL4RvqUY2jzIDMg912bePYH3nj28q6494uHAvYGXUj0M9YY9YBGiPLAvwj3Wyrw8j18HvQcoFT3JIag9sB6APBulID47jrg9NsywvVp1vb3mTU87+IKrPV5OxLw7ury9+NJ/vffsmj2M0Ju9aYg2PS6sjr0L3My8aRo7PUPU/r3wDZ09o0gaPICNCL5Xm9S81QSXvR1uyj1TNBE7Y0l9vWx64Dqa6XQ8wngevRDYKz2e6Gw91bYNPuQuvbzVkPW9iAHEPMdptT1mirC845jcO8H0sTwFmQK95dNPPGeAOr1nfI69+4sJPSKJ7rtm/BW90wIHO3DhJ71MRM29VzahPWTebL2jVfk9Ri+XvX0HFb2d4cq8BRPJO7y0jT0kB1C9/CySPQQlHDxR7aq87IM5vlDQQrznUIc9NwBKPUczhDwnB9m8r9K1uw==
10000005_200500_岩,10000005,空,200500,初升之星,岩,单手剑,5,4XcuvBHNCL1z9g4903CivamF9Tu4MWI8Aq5ZPVpj1j1jZCC9UOWCPSCEwzwN+AS8OuvwvIvXSb23GM69dfFlvF1hgT1RxdW8vN6juykxOj2IY5S9hQWvPVnoiL3JtS69Hxg6PUuYCzts2KU97iGFvdIu6DwgiQU+DZvUPBUG3zxFvPQ8yi9CPSWYXL37Xme9JqXrPG4gzDs1sAo+VdIePVU/Eb3lY3o9NkuLPMMR1jwNzq27wqciPcNisDweHOm837gNPXlYG7yUyVs94dgLvWhccb1h/1W9mqM/PfAxxr3ALl87degxvrXv4D2i3rk94HePPb+J/zqzJhI9ObuvvebnsD13vJE94CyHPRqqdTwBwxw9P4w1PcqDNj1JZz49U/jGPcBLVrp5Ng+9QQWAPdnaIDv05/07LoK3O29cFz1LVwK9r9eiu7ozurzixpi71ex1vPs93r1+jQS9AKJjvA4DNr1fLxw+E4JoPL0J3bzVeda8NbNHPG++Ir1rfZa9jywbPT0AorydXsU8mvbIPXmoDT1FbAQ+ZAgwPXV8kzyUK4Q9zSW7PLAGjz0mOkU7KvncvFCPhz3wdOe9E9wovWEbFL0EwB++8Z/aPMaloL38oZG91ZsLvXTdWz2mk3y9rxeuPEswgrwbxoe9k9NtPRnJgb1YOXC912MdvZYhj73UrWC99L+2PEO8XzqBuR49WnxcvWgMJL0g1N+8X2ZaOxFDDLz3ABc9+56NveTJbr1MYu29sEatPN+7DT5zjH09EIJJPev0iT0X0RW9+AmQPVIqvzwggoO9XJGzPFRGVbwAL8I8Pia6PFMJkb3Kl589K6iivI6XI70q6ji9AoJrvD0gir1KLAC9XGXoPbUq9rwDBhK8fiunPXLloj1IPqs9qzXQvYMvd72Gg8486lljvIIxrzpeYFw9dnkQvuHpvDyo+s49eTbsPfmnjD1e9Mg9jGLQvXV/UD3uuXk9+KBkPETNuT1nNpE8XIMSvdY4Ez30zbE95y87PFQrIz4lpMM959SpvdeRzb2TXvY6/dSsPYmnoLyLGrK93AZ3vZLUqT2aFLC9DT8oPch/kr2Xuu288HcsPR1MAL5zS4g9G3F7O6e1E77kv5K8b9+RvW92vT3+Au47AzCIvS1DUrvhH7g8yW8yvdfWLD0OzVw9YhoSPkoJ77wK3P29oc/lPAZwrz2/P0a8sdxUO4hWhTzvxQ29+CHWPFbMKb1wmZW97BnQPClqPTquuLO8Ed08ObyJB71bjcC93pOePeIyar0afAE+wV2XvcZ6/LxNy++8he4EO/0QiT32uW69o9uAPfp1LDwLUhq9ql07vmDTi7wkE2s9aLhOPUR5/DyOJMG8mjoNvA==
10000005_200500_水,10000005,空,200500,初升之星,水,单手剑,5,eh8POuoFK71//pU9uVq8vQGl67sgLao8FaCPPboTnz1muFS8t66dPSPxrjx+t5i89uXgvMg+tr21p8a9bBKRvPWfej0gOnA8YnMEvUhRQj2J14i9qBytParLnL18VQG9Xn1KPZTidTwhrpM9Nim0vZktjD1Xtvw9JWOmu6JyST1jdL478A8dPdVJQb2/d1G9AcmwPZJd67vbVgk+KyWEPbWMGr27Qp89iSU4PfYABz2xNQE9ASRoPXVvmzw9OBS9WakgPQxYojvLhUw9UddFvedKTb2ut5C9I9s7PaqEy708JFM80NonvmWBvz0AicA91Fo0PbYLNT2F74Q9/RpRveLVxz3Dr5c9cShiPVZhe7xg+RM92OZ9PQL05jyZIjk9uH28PXFPcLy2s1C9NxqPPad9w7yMnui6UxZTPB6ePT0tHeS8WbXIu1p/Vr3UiVC5dAq8vJc3pr3KYlG9c79LPd3crLylVxI+YgzBPAVEUr2wuwS9/yIrPFTBQb0agUW97/7vPHaV4LsaqhQ9mjXBPfe79DwN0cE9doMsPSMspDzvlH09qT25PHOLST2LVDC9qmLHvBOOkz26qty9K8ljvW7WRr1PQAO+xHkAPXz8mb35uG+9Er3IvHS1Zj2XTKm98kiXvPhRvDykrGm9lCh8PYUyqr1dLK+8ds70vA0ra73ST4m9iS81PQFYsLzhIEA9Z8xqvYvXCr3ymXa9vkFXPHU6nzuh3Gk9ldIMvUc2Wr0yB729KNTHPCQ71D0Wx808GCodPfcwmT1rZse83v28Pd3hzTzH3ry9ejwjPfrxo7yH+ro8saIFPV0+kL20eLo9dtojvQTvIr3n7KO9yfx+vD7xQb3ZD4K8sq3mPexQC7z+lIU7Zl/dPbVYwT2ZAt89ArLCvXHvQL1x17M8f5txvZMmTrtNtLE9ZGgOvmdN0Dz+bfY9PujjPafPtz1w9Jk9X7PBvfmOKT0EaYM99JKHPFTfqT2W2oM8O5HlvBPyhzxpHps9Qs/mOyoBBT6oaZk9SlzSvWcKq72lQoO7lAzDPSmaq7yxx8C9qu92vd2Eoj2Hx5m9t3OCPexEO7370yC9XNcXPSIiBr4iqsQ9F/gUPahG6b2AKB+8n9+/veZsqT3EzYM6mTaRvRsK1jsdqko9LOmyuxvghT2V6qc9U+z7Pd9bLb1i4Mi9x6XtPHG7iD3JOCi9/2TOO21LeD3medy8zhJcu1JfeLzUGSS9xvEhPXb9MDxAYCC9LAjSuUvktbxBtsC9fNm/PR5JN73jJeQ98mtyvcDuybz/Gz+8VTkuPGkxlz15mk+9ogOXPS+IDj1fWBu7BhAtvkavwLytYpM9haxoPb65RTq9qvy8hjExvA==
10000005_200500_火,10000005,空,200500,初升之星,火,单手剑,5,E3QxvPliCr1aUxM9Q72gvT77xjsdSXg8hFtgPSQ+0z1f3RW92mmGPQyhxzynFgW8aNbivNLOR72EN9C9+y5ovKyhgT0mCsm8gNeMu6jAPT1LgJe90UuvPaAojb3fxCm9Ee5CPaC5PDplGKM94eOFvZUL9Dwc6QU+7b7pPEba7jxvxes8/+FGPVn/Y70bjXG9N2n0PNOeEDzACAw+J0YdPXGcFb2cUng9DkqbPOU63zwBFie7fTEiPenOsTzAGe68lxwIPT0rMbzXVl89/7cLveKmd709ZVa9xVY/PZwxxr3XisU78pcyvjDW3z3nvrQ91tCLPY0TYjsqzxg9poWvvQrUsz2MJI89X1+JPX9nZDwnQyM9FDNEPZ8aND0p3kA93P3HPWiEUrvKCBK9VbF6Pdphtrl0M/o7AzUVPDs/GD3VSAO9SVFZu9jRv7xhBsq7lmSDvOeH4r29FQe9bvVVvBs/Mr3Vmxw+D1l+PCnN4bwod+m8mAMxPO+9E72Ww5e9XzImPXSAiLwqZME8UyjGPaNlED0zaQM+LEwsPbs2gDyMgHg9Wc3UPBpjjT3o9Sw7nCbTvPnnhD07wuq9ISUjvTw2Fb0FLB++Fc/OPFhIob0p/pO9f7sTvSPhVT2dEIC9TGSiPBhIfbyufYa9glZ0PTlQgb3oSme9fOQhvexxjr1kcGG9fxu1PJVBw7nEJhk9FnZkvQWkHr31p+e8z9izO2H1BrxjNBk9FCqKvXmrbb173+69PjqsPGz3DT5KhIA9KCs+PUFsij3g6Qe9uNaPPa8AyDxIKoW9Yn2nPIPcXbyVR8E8Ps22PDVVkr2RiKI9X/SrvI2kJL2mOzu9M0FevEY4hL10UP28BN3gPSZ76rxtWhq8GNWlPaOwnj2B7Ks95JzPvcwxfL2cY9o8M2ifvHQY6DrQBVs9b8wOvhObqzy7DNE9rcjuPaqTkj2+Osg9bWbLveV6Tj3msn09mseGPDvYtj1eLqM8xXwIvcXHED20JrA9CMRPPKeNIz5IRMg9PgyvvdhMz70LGnU7VoyoPXOemryb6rG9ywKAvUwcqj3Q0K29+aQrPdgrjb31duK8sDcrPTRHAb7nJYo9C6PyO8kzEr5il5m8A3mTvYNavD1tFs47/6qKve83arsacbs8/QowvUg4ND2BLmY9zu0RPuB68rxDcvy9BjrbPPGtrj1ExES88qaeO4IBgDyKvQq9htvIPPB3Kb1rTJG9SQngPK9ssjmaK7C8cW7jucYOCr1R+7+9LtGcPc5LZ71p6gA+xOyVvRG/7Lz5ce28ofdmO6A1hj1TLGy9Wk6EPURrUzybBRC9ZtM7vnLTjbwoNGs9fM5SPSNe6Dydu8q8QNQwvA==
10000005_200500_草,10000005,空,200500,初升之星,草,单手剑,5,ciYIvGRUCL0eSRs9kcGevTzYwDsghpw85WdVPbeUyj3zxRe926CEPUwMwTxnZre7Su3WvOZNab2t9dm9B7puvPjUiD0I+a28HhzsuwRFQD2XHZW9l6amPXVXhr1+0zK98qQ/PVFtDrc5vJ09WZtyvXunDj0c0AE+/aLoPLn6CD3rX/M8ttlFPc6BWL2ysGe98AwHPbG4JDzTWw8+/6caPWR1GL2smX49ZcqNPJQV4TyzoXi73hcUPdzz4jwJnvG8yAMNPXp3P7z0lG89m0EOvRJJhL0LOmK9T/pGPZHuzL1RoAk75QA1vtOP4D2Xg7M9hEaQPT4e9DoY1hs9JJOxvdoksD0+jYo9nOuDPVomUzxDyAs937tCPQrmKz0hGE49uIHMPehLbLv5rAq9nCaEPe8OgjvSS7M7ADvwO8oBIj1Q2Qm9hPKsuvTEq7yrtIW7di6nvJ053r1sOBK9h/wSvAA1Kr2RSB8+AB4ePChz97yR9eC89nMYPHB8EL1OaJ29Rq4bPVdmmLzxsMc8xGDGPQW9CT2bUvk956UjPS82lzzq3Xw9d5rGPLoAkz2RODe6u23WvL40gT3iOOe9604bvRhWFr3bfiG+mRm4PEIJpb3Gt5C92AoCveqeVz1Tn3W9uImhPGNEe7w7OJa9tTxxPQPmgb0LQmW9cu8wvfHzjr2SCG69d5rLPAUBDbrvyho9bZpavYCJAb1uMvC8jnnJO2AwCrz4cig9dMWEvV+gbL2V/eu9a4asPLtyCz4qbXc9IGI7PeeElz1wNxK9yt+NPQeTwzyKKZC9B/WoPNQ3ebwddtA8XP3UPCLWlb23Wag9ww+tvJZ3Hr13Fl69hIZyvL+khr3I8Oy8g2fgPRLEvbwcsd+71BWrPRbQoT0Otao9fHHNvd77b727wMo8WHi3vCs7yToUZXo9tX4PvmaZtTw3wtE9D2nrPcxXlT12Zb89RdnEvUhEVD32ZII9hH1OPIMUvT0mOJg8xEkAvYBfCT3D06o9+D1VPCliHj5LGco9mT2yvayqzL2H/NI7q7KlPTZAkLxrAby9jWyDvfLVqj1i56u9VfgfPb9ckb1wHd28jooiPcBHA75lCoM9SPzTO4QICb7C+aC8r7CSvZUhvT0Qr0Q7CKKJvXd1qLu+SJI8ZUstvUZTOT3Fa2A9PYYPPuyK/7yKrva9yynjPDA4pj28Rmm8toOJO74lhDyC9xC9uey0PH/cML25ZJe9lCzyPAY2ILt3UuO86boUO0kHA70T9sK9CcGfPfNtWr17Sv49RHKYva1OA73y7AW9L8mAO+tQgj1+yWG9MyGHPaxrTTxa4Bi9m7E+vqhZlbxBJ3s9c49ZPU+dzTxax8C8Y280vA==
