variant_id,item_class_id,item_name,material_type,food_base_name,quality_level,weapon_state,weapon_type,embedding
food:100001:normal,food:100001:normal,苹果,食物,苹果,0,,,OnloPc518z2givc8DH/tPLM34DzfkKM7jeU1uklIvjwkaFe9H5xKvdEKir2Cgkc+GyqCPckE2z3Lj/s8zQWnvbWTPr0MKZe88ReDvVuTRrs18+A9DJmbPN2q9LxPyq69VkvTPYXHSrxaqae81kIhvX6IDT0epAY9J2uSPexk2T3iHWi9JzxovTXs+b1s54e7kxGzvTlKeTzMb+U8GsJIPfW7ir1eQ0E8MqcAPWrHJrzPokE+XG+8PCOsUjxX8Hg9ucS7vQ52+DxrFHQ96eGFvQmYbzp8e3S9lA+zvKHX+jzv9bI6lgQNvPe/Az1EJcK8/ZqzveCSaT1S9Uw7N/kOu+d1iD1sOQG+RHcMPBwKwz2r4R693UZBPYJZjD3F4AY9/TxfPTkRMDvoYwK+2Xj4PdFSKDw9Ppc9s+mmvM4gd70JjgK9E58xPGUxg7s6K8E86nAXvQgsar2Qviq+rbDOPPbODj1xQr48HHaMOzWftzw5/Ya9o8KtvT3ZFT1kXxa9M/ZcvcbEkzycEhu7iUwiPoGHJbxxcow8doB0PH3pub2Fs0g88fc0veNP0L3E3LW933jhvG1cFzyD6IA74FHHvYWBWz2PDmG8iXxrvf1lWL0gX2S9EifRPXUcubx9Mhg9teXyvJi1Nr0gXp89vC7TOgfJqbwiKtg7VoKUPYYsGL5/8r08azMxveT0dz3V1Ba+zYWDOzfQpDxbyg69a7deu6BbRbwjz2y8gDS3Oxul1zyCkDW+7nN6PfVuZL1EOhM95eUSvJpgpL3m81W9Es9svVAtrr2dmsK9Pg79OzYwhLyfUEi9JXApvJ01yb3pD+88VtdaO9iNsL0qu7K8P6p1vF6Xa72X3ae9mHGRvWsqAz0ZISM9PI7PvCE7STsWDYq8ytRUPZ0Ywj31S2c82ogFvpepxTxfzlo866OzPUEXGD6MmDe7w0PYvF0k+D3r2+U9cuqGvFqviT3lDmW8MsD4PXsLgb3Ozpg9zgImPHYmr703t2O9j9cBveFqVT3c1cM7HlSgvAUM/Tvk1708XcciPU1GRz0xXKc9MsljPEH5wDzg9a498f2kvHP/qryvdZq8mHYLPmOGAb1HOoa9XQO+PI7djD1E8OY8UqAEPb6nRr0Fuls9YR8RPVE2qLvfglS9x6GMPdYtqj0O8Qq9Zx/Ru757C7yIXeC7njqePTVGBb1vo2Q9ndM9vVimsLt4ZsQ9cgzGveeWMr2vD6s8EA1ZvWcMTD0d5z+95MWuvfRGYryfBCm6J3Z6PXSH7D1HIoY99eFfPVZLnD0l3qW98sFJPfOrU7vr5Ai9lZ3su8+pMT3LIAC+Af1dvY4Ngr0IVea8H3AVOoPhlj1Un9W9WxDqOg==
food:100002:normal,food:100002:normal,日落果,食物,日落果,0,,,iqrmPJ/8zj1qN4y8BP7TPDtJkzzV3Bs8KQ9ovWGk+LwDkyo8l5ahO+zLgr3OVwo+5P4xPbOIsz2IdgS+jHBcvQqfkLxFpd48BNgRvU7AQDwN7LO88sbLPeqy0zxXJMY9JSoePQNJiL0BCF69NaO3O35nGj42yGO9JVjpO9EeWT0GgJy9F3eQPWxBezxMfea8maPPPSM9Z71Mg6w7bKAZPVj8hr12dLa8jHEjve9qxTxWUBI9RrTNvfFidDx25KI9J3hsvak8Cz7vM8Q91aXcvMviuDwZ3Zi9Sb0PvBID971nhie7uyd4vb9ZKb3aWA29pvqCvVgOuzw7s387YhWVvayw47y7O+Q8SWGCPYZkizzJ3w89MDRiPdg6nb1HrzG9vEL4veM6+bllZM4823lMPa1KGD3dcMU9JT+hPMvvob0Bh668k1GJOxWKCjxpyEA92gYBvgyMmr0ucii+xIAjvUR6+jxInBC9eOHTvU4jyrzg/8I5KOTnO1WHw7z0n4w9xKVAvTtZQDysAKw8dY1HPa6XG70zHwA9BcTPPZttGDxjoJU9iokBvf1TATxxC748m/MjvWor2LsDzda9vBuQvBZHGjyvviG8Gy7wvTtlU73Hl6s9j2ooPUlwoTwKFuI9YrfqO9kQUb3OVuI9XHLAPX955b24TCq9txTFPI4+vzytqN88YDEivelsYz0bMpg9P3MfPUYxVjwjS4c9sd2DPLzABD2P9HE9GbDkvICsNTw1was9FdDKvPP0Vb2wJng9MhKFPdlmJ74k7808DCH8vKjr07v6TgE9uYK2vTtz5DwhJfk8ww56PTg9mr0WJPy9CwiHPd1157xmW8E8Y0jPPafxxbvdUTC+PdcLvT5K+rzSTNk96kiyvI5o372ADJK9+fcAPknqej0+J6M9JaQQPTjO3L3076W9mZOsvC+rlTxUjJ29DJD/PAbv4TkSDMi9lWGTvI0ODb06OSg7Y8NTPQG5+L0yCoA9j6hWPUEmOD1zmbu9/qZmPXR4orx4KxC8O57TvXc+Qr3XaHe9lm4fvawDUDxcQTM98CuqPdUWnbxltQG9UyZFvene1ro1vSm8dTaIPgkHhrzvKMg87eozOZjAsTwSNJ88ZgrQvOQpvj2PMKu9Tn2wvKQmBr3OMOE8tZr9vImzHT3S3Lu8jvdwPaFmcz3Jczq9GbTLvIUcRbwc4I49t/oKPIaDBD2u+r09xfutvVejSD3BfDA8miigvGwgEb1E1kQ8OQVbvbCXN7tIQ8M8vV4XPdhaHz7ryG09RosnPM3goT1qQbm88rmevWQNeL3/IfY8x8pvPDV3D72AJ4M9DtMHPePEkjxpZJ28Kl0vPQ8MrjyADWA7yTSyvQ==
food:100328:normal,food:100328:normal,「强水」,食物,「强水」,3,,,26XpvIoQAT0ERhK+YqWqvXIOOb0bDOK9oKrGvWKv5zwSOGs9XwS8vHYccTzXdUi9kJBpvWLIjbmBZbi7CSVjvYTZ0zvfMKK93zEXvOsawD1RsVY8oOS6uiOhMr1kT/C78pfzPUM9l70ptdI8S5abvWB2JD1JcmO91LeavDmyXT3OZ6c9oDoXPbV4Fj2wuRG86DaVvMH3Kj3v4Ha8XtM1PuavpL10z8U97U26uzyRmTs1xti8g9zuPMUcxD1bwA4+yLCsvYQ0nDwHLAy9YhSIPWddL7sBElq8ghsfvaAyGD2E8pG8g8NwPEX+/ry2kuS603eJPbhJCb2XlNE9yc/Guhr8+Tz0Oow9xLKqPXJhvjx7d1u8hlwXvd2kCz2Zkm29bSX1PVKHgT3niEw9GvDHPJFC6z20gLU86txOPUsatL0LteW85fX5vOfjIr1zias8m80lvVz/ozux5508XBlFPSgD2LwMBPw8TQBDPXogYjooZJW9AEQUvs0X3LzlRTK+f9p2PWYES71phcY8F21DPT+cqz0+wfC84dSkO3H2UL0nSr48jxqmvWlsgj360I08TbIjvnILADzpN767ohaRPE/9Hj1hTQi+TyVkvasyYb1uzh49GbSJvc3z4D0Pvw896p3MvWfDUjwbPK49IJ4iPSUF6rk1lz09E1SBPeLBkLxS1yW98YTdvQbMgz0p5oY7K3yFuyIsdLsVkVi9Ykpovfokdb03hJc8cybIvEpRSL18ecK9QonCvNEnOj2r/2+9NSLovHhYI75Izu681IEovXZrLL3KpVi9/+mSPXw7S70ZZ4G9x1jRPYuxwbw7NIy9sVGAPJRzirwY8p09IomuO/Zng72/i5G9S9/YvXZXIT0B3jG+8CC1PGoXML0/HD081vbQvE8wiz2phZ49z/ncvSpHvzxpOJw9XVKKPSYNsb1YImC9uxyBPUWdYD2lMyw7bDpsvdLSljzd5OU766DZu5hq1zvfT3M91bWdPJmgAD7X+6W8R431vMy+CT0MKWe9HqX6vGfvsTy9Dc+8rwCoPAblwr3bdI+9zAOlvSySoD3JJ/89MFJ3PRJ9Eb11vJ+8HnQOPlBeYrtcYNE9caaNvNSmgT1oTv08Js5FvSKmQj0+e389X/6EO1jM7Lvij6i9ZF0JPhaT/rsnL+M9IjcKvXf13Tz2LIQ8SBy9PebQuD3mpsK9JNk1PUSWjb1/sNY9SHv7OzM7lD30V4W9S1mNPQ1lmbtB/la9zxBwPUaUx7xp4ds7GeisPfKJ6bzU0aQ9JsOUvE82tD1ozvO8nbUkPSQsgb36+pG9GVRFvXfJ5bwKpbY8WP7/uzZcajy2cEC9h4mRPLWcuL0v1+s865GAPQ==
food:100428:delicious,food:100428:delicious,美味的杏仁豆腐,食物,杏仁豆腐,2,,,5P0TPrw8xr1jGSg+AGGmOzIZYb3XvgU9xSxyvaXGdr3pbC+99HbBvKxQ673KSqE7jJjHvSjW/jwNaee8OrgLPMHWOT3o4MS8xU0avSr4qD328oW9tWOUPMxNrTubue07TcwlvhVz3r29ZEm9sZU/PWHLXDv58LC915MhPUw4/7z+RfE8Y/c6vBi1Qj2FpBi92MuHPU8ssDvZvHG9DANLPERcPz0ppCC8tb03vUNrCr7A4zQ9U7YBvq97MD3juaY9e6r2vQfRdb18ZkI9+G55vQw+jD3ekpY9z6YHPTDHp7qyxwA92xmEvYhNqDv+paC974TKPFebKD2nLfg8VIs8vvGwQb3ym6o9THHmPSbmX70+evk873Nlvb8Hqjy/z7M8PR8HvphigD2KAHa8uIt8Ovf53DsRFqM7x9aHPQmZ8LtJQ629WdM3PfM9Bz2oZ7m7awg/PDcgxr28W3u9N05AvhIntDzw93S88xprO0GE/TyRUM892FEEPmSJIL1vpx++VwwgPcMFCL4drpg8UPoNPQvrEz7NMoE9Fi+dPedJTj1qY1496Br3u7dzsjx3KBE++p8pPaf65j3SDq07ZoKcPXx7gLv4qwu9VL4+PZKWvr1B+6G9WenxvZc/LL19Q4g8Oo4AvVV4gz2Hfy496EKavXiX5r3juky97xVOPW7JVryHChS9l7hWPTeJ0LwuvjA+gH+VvAhuor0uWJk9O28oPYZjwTuHcQy9+A8du1V+/zwKzcS9oVwxPR6W6zxEbAA9EcjXPOXZB72/ioK83EZeuzT0bjy+UQY+z2KCPD2B1bzd7e08kpzpvFSowj24Aam9JNXauq+NW72WKWi9gJhUvQnxi7ySZ+88xAE1PSY7GLwjQrU9vejBPHyy1rte4IO9t4YLPSuUuD3obQk9ZJnRPXrmkb0M87A9jESBvBK6djx5U5+9st0/PWMRcbzZTDk9KtjdvVtKrjyqk2G77/wZPSHQJD6dmYo6gsKqvTOulrwyT2O9su+tPLY+0zxAWFU9HWN0vdrMgz1ut6y5mEkhPD3z7bzLBr48USoYvetno70YEEw9FUmbPONWHT0LX1O9Ys0RvZVX2LzC4n29cDKuvWSaD73GUD09+D6GPIhGjj2on8A8iAQnvW71hD20tu28K2o8vQ8NJ77Av549Q108vQV8gLqODK48OTRWPZsVsTzmBeQ871HMvB8dLbzHd6S85YLjO0Zcfjz0qbO8HrETPISQojwcEMq7KBO/u+fdRzw99Ce9HF4pvbU1zjxdYPA7mndzvRXmFz248ni95d90uevnZz2t+/S4a3ELPMoSdrlAFra9XMXwvK38aLzHbbw8MJ+3PCqDvrwRw9M9WCsUvQ==
food:100428:normal,food:100428:normal,杏仁豆腐,食物,杏仁豆腐,2,,,PMYAPik4obw7BIQ9n2EYvFdZb71+1im9CWOhvZOv1L1g2UA7l7NJve5sUrxdWhg9ux0YvQF6tD39FPm87fYEPaWLMLv+KMg8XEjjPC3nEj0yDKw63xImPcvmI72jNTs9+tJuvdeiE768fN28NCCZPHsyDT6K04i8KUHkPSsSwT25E5684/1QvZ/cOT1LhVG9GyWRPZYHnLzHfoq9y2HsPcx50z1u5TG9cArkPGJP1r2UCre9JsNGveqmw7wz4AA9o9UovXFYOr0LL8o7Nn0kvY7Zkj1Clqk8QTmEO1qdj70Nigu9uiIwvQzxkjzGcNy96HglPXuvlr1DAWQ96QtJvmmhvLwlsto9LzToPfo7Zb0TpU69aJIjvDGMMr13U6S9xEmpvCaQ+z1pn108KZVmPZXsmr1+prU9LinkPFCFBz0nTVa9DXwvu2CIazz7G/y8PqMQvYWuuL0hYKy8amPdugvMpzxYMha9CosYvVv+Dzzc3+0890z0vJdyGzuD0xm9T8oePZPg5bwINXQ8Jd2EPYMiKD2JztI9xu2cO5xtrD3gblE9O/qLveMuRL0bAu09h5flvTZqCjsH02O9KhXIPLRbAj2E9xO++bkPOdJMI7mG7Ak+xLwKvqgsyzyI3l09wPDwPEUYXz2HQZc9GBmsPLcJ+LyzbgO89YSOPUKHtT2w4v88OTlxvdbbZjyGACo+ANKPvZujrr3Dl8i9SywaPe8gRL3zfY+9mpUPva40ST0mmfm949C0vE+U1L37HhW9cCBAPad5sbylSra8V910vea5szt+Rvo9NOPFvPAtDD1Bpvq8a2TfPNjyAj5cwRG+vzQZvWFs6L0rhy089iPfPLkaXjunWxO+atKhPWGxhjxi8nA8HJA4PU+giD0AVS+8fxBnPUPYbD0wGgk9sCCqPbM4Tr0ofmO8YSHGvNN5pT2SEgK9oLFpPbCPz7wi6ws9/Qjguz8hd72k1GI85vpxPbn8Zj00v8e8PrLHvep2TTzK/Ca+kAyHvTetMzr68ho8E1ckvURibj0FahA8TlzUuwCTAL0Nc749l9BAvS81lD341ac7GdWRPDnDDr3DGru8YiUuPZ/TVTxzM0e8+KsSvdD7qb2Fvta7rDIuPGt0xr1mkxg9ZqSCPHCDczzP1Kq97S0vPVbGkr1eRtQ9oeNcu+xABD2L+7g9Es9bPQehmT2Q+3y9AsZ3vfwHCr3QS/o8K1T7vJO9Ez2RG/E8SCIKveF0rD3oAY09SHwQPHGxXDxwOQk8T9Tsvd4poT0KWy08++5SvUmYAT5di5G9qs9rvT9E6zyrElm9csX0vLVbqTydbSU8iQtCvVj+pb2lZhE8OtyNPdip3bsM6Is9Nm+jvQ==
food:100428:weird,food:100428:weird,奇怪的杏仁豆腐,食物,杏仁豆腐,2,,,JWPwPXNaSrxbGZ07CNVBvYQ9/Ly/p6K9/96ovR8yob0LhOU7a4OGvJWfhbteyto8F+ryvKlbxj3ByCO9zxn6PMuTNb0hwBE8BvGPPQzraj36XIA7fzc/PUPZ6ryVxzU9Uf49vTGM7r1W/6+9aNWevDoB+D0jH6q8Eer1PRHV+T1LN1+8mrY5vckiZz1wJDa9xTmWPQUWEb2htmO9rbAoPlr6zD2yoRu9484buytSuL1fre69qSF1vWlYF73tNHE9mO7ju7n2GL2UVBI97b0DPTslmT12vaQ8dxtYPLIlvL1zM9m892lBu6z9mroQV7+97vgRPaG/xL0iB0M9gL9nvvpU4bz5bQU+rs2wPQF9wDtDJXa9lVQYvQ076rz2Ide9H2dYPd2V5z2gBSs8e6iXPYIknbx/8Uo9DhlePT8jAz07IQy8ZZWlu+LFKLyY2i+9sfUuvVgUer1Wmrs6/u6NvFiPHLtgary6vNaVvHINpbzPLkM8xx2GvX2ZubxT1tO7vS8DPSqrFLwsl9s8YP+nPTfNLD3yQZo9IU+sPMLQAj7yj7E9dyiaveyOK7xWm/g9nMzXvR9fAjzTiAW9d9y9PFsc8jyL3gC+I4uNPDqEmLuPgsE9jXYMvkc7kD241kA9zQyXPapoPT37oJs9pUsYPXfrDDwejNu84vmNPXSqsj0NrzI9HyO5vNAU4Dwi+is+ijiivXdF572UhV69ImbjPDt5Sr0ZLc29JBZzvfd1Vj0GNLu9D1oovIOzrL3I4D69sG7APD9BCL3DjBI8lB1LOwKAfbwSMb89fRHqvO1PNz36s1O9jUqVPKUMMD4IDi++5IshvQcGAr5QMgI9uvWsPCg8UL3zvP29/7QrPdi/hTxUcXs8+hEJPQj+nj0Z6aM8aGllPenGkD2n7B49yRKTPWcyt7z1C/879RErvVi8mD0gwES9JVY6Pfa/Dr2pxfA7eiT0PEhXH72mhLe7wNelPMK3pz29SMm86h1JvRNO1zw+wg2+1FRmvZUy2TtahbQ82Si1vHzHUT00lO88o5K6uz/8Q7wEe/46fU6AvR97Rz0Eb7Q8cdSKPAEDxryJMAw7y6uyPbc3PT2qdqS7f6RpvT1p170T0D28zQb2PD5yub1jwc07lOdmOvzKqjzGNJO9knRJPP+ZQb0foYA9w0+HvJVPdz2iGRo96SRUPRm0SD2/ZTK952QSvfVqfL2RxP45y/VxvPtw3js93nw9LRuGvek6QT1gOYI97rr1PMiFdbtLEw+81AyZvdUAsz0nYyQ70VKZvc1iCD50+q692iWJvYLwbj0ZYbW9OWmMveZ6AzxDhgu9OqFEveozbb1Teuu7R+CBPVRhBr246q49ruXzvA==
food:101212:normal,food:101212:normal,星蕈,食物,星蕈,0,,,qszKve3aQT0egdA8qwYPvEfBFTw8+7W94zY5u5B3Qr07jF49hKA6vZaT7Dxkvye9cFTZPUyWoD3+6hY+xnD6PAkJLb2yroY9RmuePRAt/rxd5uo8cIuDPUZ5Qr3WlGS9D5iAPVvBPrwpSMA9q8TVvfIrX7yJu+48L+SqPPLISz1lFxw66BdqvfRGirs8OWS916aCvSCWOz0Uurg9bnrLPE/aUj0eH4E81K9CPMD+3T1so6U7iOrGvNVEM70/WMI9EKxHvWUuiT3eo229ykMWPA/+O7wtCa08R8vZvev7q7283ok8m7ctvarelT3KAhu7hByzvcWBYr0ykMI8Zm+XvYmwtj1SXae9c542PU6BKD01OvQ8dBy2vB0AdT1abjq98hM9PWvQCD0X0SQ9u6haOqvM67x3LpI93ApAvdVu0b2/2c29F8vAvBMYlr1b2Ay8vkHbvIoo7bvq4YE9S38GPlypzjx/GLK94MzMvCgaxT1uSZ29ENOFPInps7zYbZU91uH1PU2k0T0sFJO9ZCK8uk/M4by7tSI9ZiYkvk2Osj1z4F49wWrKPDWBl7sGnRm9zAfLvOx7DbyyUoi7KC2BvFZ0XT2447493PcePef1SrxbfyQ+juZqO3EDi7wcVg0+7RklvT3wKz32mg89WQQCPfrAJb0juK+7UtmFvQyIQD1XhSM8z59AvfnbvTyNi9E8vz+cvWF0pz0Bym69//DwPFdAzDz7Q6C8VZJbPWkxaLsVsvi9Dd+4PU+ghztbFDs9RbmjvV3w6jxiLZO9dJ1fvYmTAj0dhXY8oKSDPON4hT2+G9w99ytEvOufYr0gpua8SWZ1vVuepD0tPtU9PyQUvncBQzzw0o+9zId5Pf2Vyj0CnyW+BrY1PD+P3L1G6ke9lHzRPBjsl73joJE8wxP/PB3WIb1kIcC9KUr5PDDoELsQTaE7TKdAO8Ttfz1PoQc9x2B4vcfVdb0Zp3M8KHohPutTLz1PIeM89fsNvvlPhL3vft69FAxJvWwfLD0S8qe9/IyTvKuj0D0v+dy82MTUvGlNK70UAgu9uY+NvfQE2bsCgSW8c3I0PR6dqDx1iQQ9ndkXPR2LVb15GrK9TNvDPHMgmzzoDwa8maHEvMR8Cj4V12k9/HkwPYgqsz0yUAM8CrccvZ5zoD21JGE9WOzhPX7M/b0u/r09loTRvJwxNzzwZeK9vcPIuoDp1b06d1E7BX2/O63Enjz9aQQ+uzIavQWgGD01e5I9fEj9vEU69z3b7MS9AwHcPCu+qjsuSb08VD2qvAxKTj3enIu8yO2zPIIHGz2RNmU9kjuCO2B7lLrqA3w91l3JvEoWDr4IGtE8f1akPL+RNz1JV4U8SZSMvA==
food:101226:normal,food:101226:normal,活化的星蕈,食物,活化的星蕈,0,,,DP2+vaFP07qu6IA8TvguPFQhtbyDivm909w6vWMKNLwHpR896aZdvJpffrzsiL29pk+NPZkH3j0m7tY87MxTvI0tUDwNRRU99eeKPDBoYzzawyg8pskDPdD4nb0JZCy94txqPSiji7zE/oQ8rHgavsxzX70Xjty8sLS3vVJiETx1XPY9ylCSu2fg3zz6blK9M9iBvdUjezx4+Yo9wgRNPJ6mxbw7NL89fRUkvWsnwj3pqns9lRK2vWMDyzz7egk+ttyxvdTm4T0fEes8zCY1PDHLTrxwEbs9mVGWvTbMlb3JIPe7084zvUZksj3VGxm7wpG8vYHeFj2kvHM9Uo++vXH9bD2DQP68uZv+PDniPj3SV2U9HYsLvZrYbj3Yxza8Yvv/O4Qhyzz04ni6lXW6u08xOz02gMs9e26kPJtSDL7foPO9aQKYvOEotL1TkaA9sl26O7td1TvE4WE9/s4+PBcfLjyKQa69DeqqvIidGT0wUXa9qv3RPXO8Ir0uy6O75IuMPfebjDwtso68L3z4vH6LrDymrjk8TIimvfhqST3AI6W7pyNNPCebLj0+2wc81d+CPfjxBD0yTcA8j+rmPG/xjzvyMN0949IFPTIpub2v5kY9dAg+vX1bfr2ERQs+akSvvSJVqTyc7pM94x6NvUB5qr3eTcW8fe29vXvVQj3Bgu+8ihKmvEkpvzsX95s9yqH0vAk15Lwt04I9DGE4PLQnHD2h2Qy9ySHyPO278rwLPcW9LBC7PeYYAz2wcw8+C07CvaveEb1vf828KPW3vSzxdj1FwDs98GeOPIijXz1f0Pk9c1TsPAUag73mVtK8x9VsvR6c+T3uj5M9pw2Vva8onLxyY+k7RPrAPQqtxT0KWOG9MO5KPV51OL5fD+O9a2hQvSKQFDv+HNc84pDNPHFAlb32uey97TKiu0r0ELwzZTk7pTuoPLHDpj2xTLO8DdCMvYp/wrqtqS29qteKPdkcWT1En9M91XxkvUJNlj2AiTq957gAvEGiCTwzR7O9HklQvTUCNz0uPqC8KB4NPLNuWTxFLpy9um2FvamnNL0IgRY98sHAuz74qj0c6R29r3MUPTVps72GU6W9L46sPLbFTz0+5Ta95D/0vAMqbT6NO488XLbeu5fZ2z3oR888SHGdvSQ8JD0jApY9BaXgPSEFm7073yk9soO7vQjb8Tx3GiW9j0fkPE41mL0wSRO9MG8QOtreMj2Dc5g9ZJ04vVPK9bwjgh89Qj5OvQk24z3qhQe+aL7ZPdAODj0XWZs8r1KJvcdT4LtopLa8/sopvHLRWj2yAYk93EIePX0XYLxqJfs8PoQSvUkNhr3Jajc9Xe9PuzarsTnCs3M9UL1hvQ==
food:101227:normal,food:101227:normal,枯焦的星蕈,食物,枯焦的星蕈,0,,,YgQFvsKmtbzxwvY7owkNPTr6pjzfWry9kwNQPOkoiL1t+rA96Utkvb2CbD3cQL68+Y/WPV6ZOj1jpLs9HHivPWIEgrztlgI+ykAWPmgdIj1ZTXo9+8xYPANYQb0+cte8VYULPlbAjL3D7Dw9Nk7XvXivRzxmlqo8FWXnPLestjz1zJO94ViAPKk6njy8jFi9UknJu5+uxT2aHTM9YGv8vB+3sz1qPym9sqrxPPxopD3Ozd28y5cavWX4vb11ccw9PDBLvXpucT0wbdS7UQWDPPNTI71KqCk8N+25vXHQvr0OLj49VyRnvbk+hj1sOsS8/YCwvaqaGr0gxRs9yW9pvFsTtz1f2bY84YnSPNFj3z2F1kM9lIOzu3UeYj3HcIq9xyU4PRqFIbwHNlM9VE0qvYY2G72/4Uw9PSM0vYL5CL4wrRe9TMdlvRTLuLzzST+9j7T6OrvbIj0hpXY9HjwvPvramrz3JJ88CHoyvZ5gaD3ct5G9xK54vDPRCj3t74c9EnQtPGEgrT0n9wi9/MhyvZb74Lyp6/k7N7kSvijsoT3Mxzc91y96u8mPej0jDh28n/uAPTnyJb3r0RA8zu/mPFYMSj1+XA8+V6Ehvbl0oDy/nk8+ohcNuixMAj10KhY+QLF+PAqt5TyEUFu8IvWsPDwYf701UEE9yjFhvWSH1T0SSpA8LqeCPApV2Dy3fLG8BsCgvcZToj1XJ5i8NRo0PSsuDz375rW7Lj4JPZ/PKr2MCze8Jr/0PA3uDD23MXA7Tu7LvXQCjDwspsK8JSGbPJrByzz1r1o82ZxRumL0qT2zoPs9W/gTvZIhAb1AJAW9lOqFvHoNKj1ZO/Q9NPx9veKXTz2TIp+9VBnLPCwa/z3fxSS+IkNHvAKPtL0yChS9Z0BxPbUV5b36Cpc9WYhsPKa+WL1Yeci9JBZ6PTKYnbubpp48pQfKu/W0Tz2lKRS90oEEPDfku73pn1S8i4ulPe/dSz1LkYc9u/AIvXg6dr2Mb1+9NKz8ug4JBD2Ovo+9DLW4vNAIRD2waHC8+OOZvM5Hjb0Efya9+lNsvSQOILxQbY+8gycQPXVkFD0j0RA+qC6aPCgzlL0k2we+F3p3vbIKaz2LYtw7J4iEvXttwj3EC4w97AfhPLGMCT3H0bo8oZApvZcMOT2HE608BqaSPeMG0L1IJk09uFccvbWkBjtNjS69r0e7PHMghr3hJ7Y7q2RnPZu5gTxASCw+cGpsvZtsDLydOJA9uv94vem1AT4QbjW8r9SyPSmwlzuy5ZS8WJDSvBbBRz0iaMe9wlidPI41/7xCtMg8FaFkvRhAFDpLT8U9uDMbvH2OIb4x4eC7rZlLOyWBz7xtbTE8TBljvA==
food:101230:normal,food:101230:normal,泡泡桔,食物,泡泡桔,0,,,4cc2vQS1yT1tlmu8V4OKvSKrhD3NSji9tYSUvUvVvDyks6i9+nOKPKyxJ7vOiZU9EVmJPaSMOz6Oz5G96+l7vW5Yhbzg/eS8OTmoPPC3Nr11xkU9siYauxnsMD1jGRy8M5MaPVIYmLyKZWS8PuZoPbYFnT3hZ5i8TR/VPZDkKz2US0a8y09svENzT72yIlC9DJtiPQQZt7zsPZ493zoTPgtKvzpJf9K8MC1PPQg7fjxvsTU978PaPKPxsr3lreI8bFalvSmE4z2l2pA9ZFmrvbAwBz0ogOU8YnhUvZfqtruOHuC822iHvRjMHT0qdlE7wp23vYrShToTIHY7nKwIvqMADj2U2H6964N/vKU27DzDPyC9kGabPIutN7tqpZa8QUcyPTEtbD0fOVQ94MkzPkQbn72QOE88RpYvvWwb/TjTog6+t3BgvEr1Vr1ELBA9bUBavTnoab0r15C9QqWSOy7jjD03vGS9vgG0vZJuGb3qIbG982GEvbF5rzvnBMY9fDujPVIzHT3OR1K82lASPtjLgL0qTTo96A5fPaT/Oz0Ycbg9XuExvSHmkr0ReYy9oVm9vb2e8bzmjCu89diqvb1tUrzVwSg7fWwGPCaADj0M6Rw9f7+GPUPCDr7o8p49L4s5PYuIRL1O1zQ+u+vSPW6t3DpI9ek7yzF8PYN6ar2x2oM9aa72vFayNz0eW188bteDO3TNFr2IVtu8Oq52vfab1rz5D6+9u7bpvY01tT2c3SS+3xeLumr2kr1A1z49g4KgvEcmqL0c4Pe7zuwAvdz2I72AhdO9lIwfvT1fhjxLeLm7Sj5SPS8vr70pwRG9vqRxPD2eHjy+Ab483oISPbLKhL22Yrq9IXPAPTtaCj25U0o9iPegPbx36r2Lfi+7z60APvDRUT1Tr5U8wQSyu28Cl7xumu+9xNA4PCmDjD1J84e78stEPTJtXj3atCE89iY/PUGohTtK1gk9yprDPWprq72FL9O77k1wO7LOvL1SqHK7ye4AvXuqB71pFaa8Ny7LuTJtCT2u2Ai9BSvFOnGaUT276lM91P9VPWxhPz3o61E7jbgTvR2dYzyMSHK9FWBSPh100bzSc9o8ESjCO+zWHTqI+Zm8x9fXu+ho5T2X7Im8XTKFvG3AY73e0+482D+1PfsDCz5NbOO8tV7GPaoR8jwPjIC9PErzPIN+Dr2imvu8bQVSvfnHKrxnw7w9OmwoveVKjzyx6g89SFyrvRRcpzz011U72GcavRoFcb1pHmm9ZcTmugN8Sj5+7zo901mrOl9EoT2qRFu8GIUDvmySRD2ynJ28YtbSPEXLAL1+Y2m9L72avOtpyb1Lzh09BeA1PY7yZz1HpeS87R1FvQ==
